Moviename,Runtime (min),Genre,Rating,MPAA_Rating,Director,Actors,Votes,Year,Gross(M),Updated Genre
It's Complicated,120,"Comedy, Drama, Romance",6.6,R,Nancy Meyers,"Meryl Streep, Steve Martin, Alec Baldwin, John Krasinski",91173,2009,112.74,Comedy
Pontypool,93,"Fantasy, Horror, Thriller",6.6,Not Rated,Bruce McDonald,"Stephen McHattie, Lisa Houle, Georgina Reilly, Hrant Alianak",31472,2008,0.0,Fantasy
Edge of Darkness,117,"Action, Crime, Drama",6.6,R,Martin Campbell,"Mel Gibson, Ray Winstone, Danny Huston, Bojana Novakovic",93456,2010,43.31,Action
The Greatest,99,"Drama, Romance",6.6,R,Shana Feste,"Carey Mulligan, Aaron Taylor-Johnson, Pierce Brosnan, Susan Sarandon",8981,2009,0.12,Drama
The Headless Woman,87,"Drama, Mystery, Thriller",6.6,Unrated,Lucrecia Martel,"María Onetto, Claudia Cantero, César Bordón, Daniel Genoud",5101,2008,0.1,Drama
The Lost City of Z,141,"Adventure, Biography, Drama",6.6,PG-13,James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",87341,2016,8.58,Adventure
Last Vegas,105,"Comedy, Drama",6.6,PG-13,Jon Turteltaub,"Robert De Niro, Michael Douglas, Morgan Freeman, Kevin Kline",131644,2013,63.91,Comedy
Inhale,83,"Drama, Thriller",6.6,R,Baltasar Kormákur,"Dermot Mulroney, Diane Kruger, Sam Shepard, Rosanna Arquette",6482,2010,0.0,Drama
The Bourne Legacy,135,"Action, Adventure, Thriller",6.6,PG-13,Tony Gilroy,"Jeremy Renner, Rachel Weisz, Edward Norton, Scott Glenn",297132,2012,113.2,Action
Crazy About Her,102,"Comedy, Romance",6.6,TV-MA,Dani de la Orden,"Álvaro Cervantes, Susana Abaitua, Luis Zahera, Aixa Villagrán",5437,2021,0.0,Comedy
Undine,91,"Drama, Fantasy, Mystery",6.6,Unrated,Christian Petzold,"Paula Beer, Franz Rogowski, Maryam Zaree, Jacob Matschenz",6360,2020,0.0,Drama
Today's Special,99,Comedy,6.6,R,David Kaplan,"Aasif Mandvi, Dean Winters, Kevin Corrigan, Aarti Mann",6523,2009,0.4,Comedy
What Doesn't Kill You,100,"Crime, Drama",6.6,R,Brian Goodman,"Ethan Hawke, Mark Ruffalo, Brian Goodman, Amanda Peet",12244,2008,0.0,Crime
Fireproof,122,"Drama, Fantasy, Romance",6.6,PG,Alex Kendrick,"Kirk Cameron, Erin Bethea, Ken Bevel, Stephen Dervan",22538,2008,33.46,Drama
Adulthood,99,"Crime, Drama",6.6,Not Rated,Noel Clarke,"Noel Clarke, Scarlett Alice Johnson, Adam Deacon, Jacob Anderson",12579,2008,0.0,Crime
Detective Dee: The Mystery of the Phantom Flame,119,"Action, Adventure, Drama",6.6,PG-13,Hark Tsui,"Tony Ka Fai Leung, Chao Deng, Carina Lau, Bingbing Li",11158,2010,0.46,Action
Bad Lieutenant: Port of Call New Orleans,122,"Crime, Drama",6.6,R,Werner Herzog,"Nicolas Cage, Eva Mendes, Russell M. Haeuser, Val Kilmer",76468,2009,1.7,Crime
Titane,108,"Drama, Horror, Sci-Fi",6.6,R,Julia Ducournau,"Vincent Lindon, Agathe Rousselle, Garance Marillier, Laïs Salameh",32247,2021,0.0,Drama
Wanted,147,"Action, Crime, Thriller",6.6,Not Rated,Prabhu Deva,"Salman Khan, Ayesha Takia, Vinod Khanna, Govind Namdeo",23759,2009,0.0,Action
La Llorona,97,"Crime, Drama, Horror",6.6,Not Rated,Jayro Bustamante,"María Mercedes Coroy, Sabrina De La Hoz, Margarita Kenéfic, Julio Diaz",5615,2019,0.0,Crime
Stillwater,139,"Crime, Drama, Thriller",6.6,R,Tom McCarthy,"Matt Damon, Camille Cottin, Abigail Breslin, Lilou Siauvaud",34265,2021,0.0,Crime
The Harder They Fall,139,"Action, Drama, Western",6.6,R,Jeymes Samuel,"Jonathan Majors, Zazie Beetz, RJ Cyler, Edi Gathegi",54211,2021,0.0,Action
Eagle Eye,118,"Action, Mystery, Thriller",6.6,PG-13,D.J. Caruso,"Shia LaBeouf, Michelle Monaghan, Rosario Dawson, Michael Chiklis",184504,2008,101.11,Action
Last Chance Harvey,93,"Drama, Romance",6.6,PG-13,Joel Hopkins,"Dustin Hoffman, Emma Thompson, Kathy Baker, Eileen Atkins",21300,2008,14.88,Drama
I Love You Phillip Morris,98,"Biography, Comedy, Crime",6.6,R,Glenn Ficarra,"Jim Carrey, Ewan McGregor, Leslie Mann, Rodrigo Santoro",94812,2009,2.04,Biography
Chehre,139,"Drama, Mystery, Thriller",6.6,PG,Rumi Jaffery,"Amitabh Bachchan, Emraan Hashmi, Krystle D'Souza, Annu Kapoor",26553,2021,0.0,Drama
Never Back Down,113,"Action, Drama, Sport",6.6,PG-13,Jeff Wadlow,"Sean Faris, Djimon Hounsou, Amber Heard, Cam Gigandet",100013,2008,24.85,Action
Egg,97,Drama,6.6,Not Rated,Semih Kaplanoglu,"Nejat Isler, Saadet Aksoy, Ufuk Bayraktar, Kaan Karabacak",5245,2007,0.0,Drama
Fast & Furious,107,"Action, Crime, Thriller",6.6,PG-13,Justin Lin,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster",279888,2009,155.06,Action
Machete,105,"Action, Crime, Thriller",6.6,R,Ethan Maniquis,"Danny Trejo, Michelle Rodriguez, Robert De Niro, Jessica Alba",195665,2010,26.59,Action
Nick and Norah's Infinite Playlist,90,"Comedy, Drama, Music",6.6,PG-13,Peter Sollett,"Michael Cera, Kat Dennings, Aaron Yoo, Rafi Gavron",91394,2008,31.49,Comedy
Repo! The Genetic Opera,98,"Horror, Musical, Sci-Fi",6.6,R,Darren Lynn Bousman,"Paul Sorvino, Anthony Head, Alexa PenaVega, Sarah Brightman",24739,2008,0.14,Horror
Robin Hood,140,"Action, Adventure, Drama",6.6,PG-13,Ridley Scott,"Russell Crowe, Cate Blanchett, Matthew Macfadyen, Max von Sydow",264309,2010,105.27,Action
Arn: The Kingdom at the End of the Road,128,"Action, Drama, Romance",6.6,Not Rated,Peter Flinth,"Joakim Nätterqvist, Sofia Helin, Stellan Skarsgård, Bibi Andersson",8016,2008,0.0,Action
Dragon Hunters,80,"Animation, Action, Adventure",6.6,PG,Guillaume Ivernel,"Vincent Lindon, Patrick Timsit, Philippe Nahon, Amanda Lear",12567,2008,0.0,Animation
Cairo Time,90,"Drama, Romance",6.6,PG,Ruba Nadda,"Patricia Clarkson, Alexander Siddig, Elena Anaya, Amina Annabi",6524,2009,1.6,Drama
The Wedding Ringer,101,Comedy,6.6,R,Jeremy Garelick,"Kevin Hart, Josh Gad, Kaley Cuoco, Affion Crockett",74668,2015,64.46,Comedy
Please Give,87,"Comedy, Drama",6.6,R,Nicole Holofcener,"Catherine Keener, Oliver Platt, Rebecca Hall, Elizabeth Keener",11287,2010,4.03,Comedy
Antichrist,108,"Drama, Horror, Thriller",6.6,Not Rated,Lars von Trier,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm",123794,2009,0.4,Drama
Jungle Cruise,127,"Action, Adventure, Comedy",6.6,PG-13,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramírez, Jack Whitehall",169576,2021,0.0,Action
The Forbidden Kingdom,104,"Action, Adventure, Fantasy",6.6,PG-13,Rob Minkoff,"Jackie Chan, Jet Li, Michael Angarano, Juana Collignon",104756,2008,52.08,Action
Blindness,121,"Drama, Mystery, Sci-Fi",6.6,R,Fernando Meirelles,"Julianne Moore, Mark Ruffalo, Gael García Bernal, Yûsuke Iseya",72399,2008,3.07,Drama
Battle in Seattle,98,"Action, Drama, History",6.6,R,Stuart Townsend,"André 3000, Jennifer Carpenter, Isaach De Bankolé, Woody Harrelson",14678,2007,0.22,Action
Epic,102,"Animation, Action, Adventure",6.6,PG,Chris Wedge,"Amanda Seyfried, Josh Hutcherson, Beyoncé, Colin Farrell",103862,2013,107.52,Animation
Arn: The Knight Templar,139,"Action, Drama, Romance",6.6,R,Peter Flinth,"Joakim Nätterqvist, Sofia Helin, Stellan Skarsgård, Michael Nyqvist",22021,2007,0.0,Action
Underworld: Rise of the Lycans,92,"Action, Fantasy, Thriller",6.6,R,Patrick Tatopoulos,"Rhona Mitra, Michael Sheen, Bill Nighy, Steven Mackintosh",157691,2009,45.8,Action
Quantum of Solace,106,"Action, Adventure, Thriller",6.6,PG-13,Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench",437967,2008,168.37,Action
A Mighty Heart,108,"Biography, Drama, History",6.6,R,Michael Winterbottom,"Angelina Jolie, Dan Futterman, Irrfan Khan, Archie Panjabi",27490,2007,9.18,Biography
"Ice Cream, I Scream",100,Comedy,6.6,Not Rated,Yüksel Aksu,"Nejat Altinsoy, Mehmet Amca, Levent Aras, Ayse Aslan",6131,2005,0.0,Comedy
Funny Games,111,"Crime, Drama, Thriller",6.6,R,Michael Haneke,"Naomi Watts, Tim Roth, Michael Pitt, Brady Corbet",95312,2007,1.29,Crime
Facing the Giants,111,"Drama, Fantasy, Sport",6.6,PG,Alex Kendrick,"Alex Kendrick, Shannen Fields, Jason McLeod, Tracy Goode",16974,2006,10.18,Drama
The Incredible Hulk,112,"Action, Adventure, Sci-Fi",6.6,PG-13,Louis Leterrier,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",470591,2008,134.52,Action
Feast of Love,97,"Drama, Romance",6.6,R,Robert Benton,"Morgan Freeman, Radha Mitchell, Alexa Davalos, Greg Kinnear",16462,2007,3.5,Drama
Numb,93,"Comedy, Drama, Romance",6.6,R,Harris Goldberg,"Matthew Perry, Lynn Collins, Kevin Pollak, Bob Gunton",8384,2007,0.0,Comedy
The Dead Girl,85,"Crime, Drama, Mystery",6.6,R,Karen Moncrieff,"Toni Collette, Brittany Murphy, Marcia Gay Harden, Piper Laurie",15189,2006,0.02,Crime
My Blueberry Nights,95,"Drama, Romance",6.6,PG-13,Kar-Wai Wong,"Norah Jones, Jude Law, Natalie Portman, Chad R. Davis",53835,2007,0.87,Drama
10 Items or Less,82,"Comedy, Drama",6.6,R,Brad Silberling,"Morgan Freeman, Paz Vega, Jonah Hill, Anne Dudek",15147,2006,0.08,Comedy
Vivah,160,"Drama, Musical, Romance",6.6,Not Rated,Sooraj R. Barjatya,"Shahid Kapoor, Amrita Rao, Anupam Kher, Alok Nath",9689,2006,0.0,Drama
Fanboys,90,"Adventure, Comedy, Crime",6.6,PG-13,Kyle Newman,"Dan Fogler, Jay Baruchel, Kristen Bell, Sam Huntington",58404,2009,0.69,Adventure
Rob-B-Hood,136,"Action, Adventure, Comedy",6.6,Not Rated,Benny Chan,"Jackie Chan, Michael Hui, Louis Koo, Charlene Choi",14293,2006,0.0,Action
Pride and Glory,130,"Crime, Drama, Thriller",6.6,R,Gavin O'Connor,"Edward Norton, Colin Farrell, Noah Emmerich, Jon Voight",60841,2008,15.71,Crime
Harold & Kumar Escape from Guantanamo Bay,114,"Adventure, Comedy",6.6,R,Jon Hurwitz,"John Cho, Kal Penn, Neil Patrick Harris, Rob Corddry",135547,2008,38.09,Adventure
Madagascar: Escape 2 Africa,89,"Animation, Adventure, Comedy",6.6,PG,Eric Darnell,"Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",219785,2008,180.01,Animation
The Go-Getter,93,"Comedy, Drama",6.6,R,Martin Hynes,"Lou Taylor Pucci, Zooey Deschanel, M. Ward, Judy Greer",5129,2007,0.0,Comedy
Rocket Science,101,"Comedy, Drama",6.6,R,Jeffrey Blitz,"Reece Thompson, Anna Kendrick, Nicholas D'Agosto, Utkarsh Ambudkar",13239,2007,0.71,Comedy
Bluffmaster,137,"Comedy, Crime, Drama",6.6,Not Rated,Rohan Sippy,"Abhishek Bachchan, Priyanka Chopra Jonas, Riteish Deshmukh, Nana Patekar",6248,2005,0.72,Comedy
Prince of Persia: The Sands of Time,116,"Action, Adventure, Fantasy",6.6,PG-13,Mike Newell,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina",284152,2010,90.76,Action
The Mechanic,93,"Action, Crime, Thriller",6.6,R,Simon West,"Jason Statham, Ben Foster, Donald Sutherland, Tony Goldwyn",158282,2011,29.12,Action
Shanghai Kiss,106,"Comedy, Drama, Romance",6.6,Not Rated,Kern Konwiser,"Ken Leung, Hayden Panettiere, Kelly Hu, Joel David Moore",5334,2007,0.0,Comedy
Shoot 'Em Up,86,"Action, Comedy, Thriller",6.6,R,Michael Davis,"Clive Owen, Monica Bellucci, Paul Giamatti, Stephen McHattie",148915,2007,12.81,Action
Chaos Theory,87,"Comedy, Drama, Romance",6.6,PG-13,Marcos Siega,"Ryan Reynolds, Emily Mortimer, Stuart Townsend, Sarah Chalke",32469,2007,0.24,Comedy
X-Men Origins: Wolverine,107,"Action, Sci-Fi",6.6,PG-13,Gavin Hood,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston",490939,2009,179.88,Action
Scoop,96,"Comedy, Crime, Fantasy",6.6,PG-13,Woody Allen,"Scarlett Johansson, Hugh Jackman, Jim Dunk, Robert Bathurst",83753,2006,10.53,Comedy
Australia,165,"Adventure, Drama, Romance",6.6,PG-13,Baz Luhrmann,"Nicole Kidman, Hugh Jackman, Shea Adams, Eddie Baroo",123112,2008,49.55,Adventure
Bubble,73,"Crime, Drama, Mystery",6.6,R,Steven Soderbergh,"Debbie Doebereiner, Omar Cowan, Dustin James Ashley, Phyllis Workman",8055,2005,0.15,Crime
No Entry,158,"Comedy, Drama, Musical",6.6,Not Rated,Anees Bazmee,"Anil Kapoor, Fardeen Khan, Salman Khan, Bipasha Basu",11716,2005,0.68,Comedy
16 Blocks,102,"Action, Drama, Thriller",6.6,PG-13,Richard Donner,"Bruce Willis, Yasiin Bey, David Morse, Jenna Stern",129751,2006,36.9,Action
The Valet,85,"Comedy, Drama",6.6,PG-13,Francis Veber,"Gad Elmaleh, Alice Taglioni, Daniel Auteuil, Kristin Scott Thomas",10246,2006,2.27,Comedy
Puss in Boots,90,"Animation, Adventure, Comedy",6.6,PG,Chris Miller,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton",154029,2011,149.26,Animation
Take the Lead,118,"Drama, Music",6.6,PG-13,Liz Friedlander,"Antonio Banderas, Rob Brown, Yaya DaCosta, Alfre Woodard",25548,2006,34.74,Drama
The Wayward Cloud,112,"Comedy, Drama, Musical",6.6,Not Rated,Ming-liang Tsai,"Kang-sheng Lee, Shiang-chyi Chen, Yi-Ching Lu, Kuei-Mei Yang",5193,2005,0.0,Comedy
Vantage Point,90,"Action, Crime, Drama",6.6,PG-13,Pete Travis,"Dennis Quaid, Forest Whitaker, Matthew Fox, Bruce McGill",148934,2008,72.27,Action
Dhoom 2,152,"Action, Crime, Thriller",6.6,Not Rated,Sanjay Gadhvi,"Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai Bachchan, Uday Chopra",25913,2006,2.64,Action
Paper Man,110,"Comedy, Drama",6.6,R,Kieran Mulroney,"Jeff Daniels, Emma Stone, Ryan Reynolds, Lisa Kudrow",19108,2009,0.02,Comedy
Saw II,93,"Horror, Mystery",6.6,R,Darren Lynn Bousman,"Donnie Wahlberg, Beverley Mitchell, Franky G, Emmanuelle Vaugier",246410,2005,87.04,Horror
Atomised,113,"Drama, Romance",6.6,Not Rated,Oskar Roehler,"Moritz Bleibtreu, Christian Ulmen, Franka Potente, Martina Gedeck",8043,2006,0.0,Drama
Run Fatboy Run,100,"Comedy, Romance, Sport",6.6,PG-13,David Schwimmer,"Simon Pegg, Thandiwe Newton, Hank Azaria, Dylan Moran",67091,2007,6.0,Comedy
Flushed Away,85,"Animation, Action, Adventure",6.6,PG,David Bowers,"Hugh Jackman, Kate Winslet, Ian McKellen, Jean Reno",121938,2006,64.67,Animation
Sherrybaby,96,Drama,6.6,R,Laurie Collyer,"Maggie Gyllenhaal, Ryan Simpkins, Sam Bottoms, Michelle Hurst",11745,2006,0.2,Drama
Aitraaz,160,"Drama, Romance, Thriller",6.6,Not Rated,Abbas Alibhai Burmawalla,"Akshay Kumar, Kareena Kapoor, Priyanka Chopra Jonas, Amrish Puri",10141,2004,0.09,Drama
Neverwas,103,"Drama, Fantasy, Mystery",6.6,PG-13,Joshua Michael Stern,"Aaron Eckhart, Ian McKellen, Brittany Murphy, Nick Nolte",6734,2005,0.0,Drama
Factotum,94,"Comedy, Drama, Romance",6.6,R,Bent Hamer,"Matt Dillon, Lili Taylor, Marisa Tomei, Didier Flamand",14378,2005,0.81,Comedy
Talladega Nights: The Ballad of Ricky Bobby,108,"Comedy, Sport",6.6,PG-13,Adam McKay,"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole",179421,2006,148.21,Comedy
John Carter,132,"Action, Adventure, Sci-Fi",6.6,PG-13,Andrew Stanton,"Taylor Kitsch, Lynn Collins, Willem Dafoe, Samantha Morton",266871,2012,73.08,Action
Derailed,108,"Crime, Drama, Thriller",6.6,R,Mikael Håfström,"Clive Owen, Jennifer Aniston, Vincent Cassel, Addison Timlin",73072,2005,36.02,Crime
Nanny McPhee,97,"Comedy, Family, Fantasy",6.6,PG,Kirk Jones,"Emma Thompson, Colin Firth, Angela Lansbury, Kelly Macdonald",74340,2005,47.14,Comedy
A Lot Like Love,107,"Comedy, Drama, Romance",6.6,PG-13,Nigel Cole,"Ashton Kutcher, Amanda Peet, Taryn Manning, Aimee Garcia",68900,2005,21.84,Comedy
30 Days of Night,113,"Action, Horror, Thriller",6.6,R,David Slade,"Josh Hartnett, Melissa George, Danny Huston, Ben Foster",173338,2007,39.57,Action
King of California,93,"Comedy, Drama",6.6,PG-13,M. Cahill,"Michael Douglas, Evan Rachel Wood, Willis Burks II, Laura Kachergus",22847,2007,0.26,Comedy
Idiocracy,84,"Adventure, Comedy, Sci-Fi",6.6,R,Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews",157332,2006,0.44,Adventure
Hitch,118,"Comedy, Romance",6.6,PG-13,Andy Tennant,"Will Smith, Eva Mendes, Kevin James, Amber Valletta",310380,2005,179.5,Comedy
Monster House,91,"Animation, Comedy, Family",6.6,PG,Gil Kenan,"Mitchel Musso, Sam Lerner, Spencer Locke, Ryan Whitney",113073,2006,73.66,Animation
Lonesome Jim,91,"Comedy, Drama",6.6,R,Steve Buscemi,"Casey Affleck, Liv Tyler, Mary Kay Place, Kevin Corrigan",7865,2005,0.15,Comedy
The White Countess,135,"Drama, History, Romance",6.6,PG-13,James Ivory,"Ralph Fiennes, Natasha Richardson, Vanessa Redgrave, Lynn Redgrave",6610,2005,1.67,Drama
The Da Vinci Code,149,"Mystery, Thriller",6.6,PG-13,Ron Howard,"Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen",422286,2006,217.54,Mystery
Don't Come Knocking,122,"Drama, Music",6.6,R,Wim Wenders,"Sam Shepard, Jessica Lange, Tim Roth, James Roday Rodriguez",7604,2005,0.44,Drama
The Manchurian Candidate,129,"Drama, Mystery, Sci-Fi",6.6,R,Jonathan Demme,"Denzel Washington, Liev Schreiber, Meryl Streep, Kimberly Elise",109345,2004,65.96,Drama
Charlie and the Chocolate Factory,115,"Adventure, Comedy, Family",6.6,PG,Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter",460343,2005,206.46,Adventure
Undertow,108,"Drama, Thriller",6.6,R,David Gordon Green,"Jamie Bell, Josh Lucas, Dermot Mulroney, Devon Alan",8866,2004,0.02,Drama
The Ballad of Jack and Rose,112,Drama,6.6,R,Rebecca Miller,"Daniel Day-Lewis, Catherine Keener, Camilla Belle, Ryan McDonald",11553,2005,0.71,Drama
I Heart Huckabees,107,Comedy,6.6,R,David O. Russell,"Jason Schwartzman, Jude Law, Naomi Watts, Mark Wahlberg",63835,2004,12.78,Comedy
EuroTrip,92,Comedy,6.6,R,Jeff Schaffer,"Scott Mechlowicz, Jacob Pitts, Michelle Trachtenberg, Travis Wester",206038,2004,17.72,Comedy
Five Times Two,90,"Drama, Romance",6.6,R,François Ozon,"Valeria Bruni Tedeschi, Stéphane Freiss, Françoise Fabian, Michael Lonsdale",9647,2004,0.13,Drama
De-Lovely,125,"Biography, Drama, Music",6.6,PG-13,Irwin Winkler,"Kevin Kline, Ashley Judd, Jonathan Pryce, Kevin McNally",11305,2004,13.34,Biography
Chalte Chalte,167,"Drama, Romance",6.6,Not Rated,Aziz Mirza,"Shah Rukh Khan, Rani Mukerji, Jas Arora, Satish Shah",15260,2003,0.84,Drama
Mangal Pandey,150,"Biography, Drama, History",6.6,Not Rated,Ketan Mehta,"Aamir Khan, Rani Mukerji, Toby Stephens, Coral Beed",9875,2005,0.87,Biography
The Lost City,144,"Drama, Romance",6.6,R,Andy Garcia,"Andy Garcia, Inés Sastre, Bill Murray, Alfredo Armenteros",9465,2005,2.48,Drama
Dear Wendy,105,"Comedy, Crime, Drama",6.6,Not Rated,Thomas Vinterberg,"Jamie Bell, Alison Pill, Chris Owen, Bill Pullman",10168,2005,0.02,Comedy
Sex Is Zero,96,"Comedy, Romance",6.6,13+,JK Youn,"Chang Jung Lim, Ha Ji-Won, Seong-guk Choi, Chae-yeong Yu",6181,2002,0.0,Comedy
The Polar Express,100,"Animation, Adventure, Comedy",6.6,G,Robert Zemeckis,"Tom Hanks, Chris Coppola, Michael Jeter, Leslie Zemeckis",199732,2004,183.37,Animation
Head in the Clouds,132,"Drama, Romance, War",6.6,R,John Duigan,"Charlize Theron, Stuart Townsend, Penélope Cruz, Thomas Kretschmann",15166,2004,0.4,Drama
Wonderland,104,"Crime, Drama, Mystery",6.6,R,James Cox,"Val Kilmer, Lisa Kudrow, Kate Bosworth, Christina Applegate",22099,2003,1.06,Crime
Bright Young Things,102,"Comedy, Drama, War",6.6,R,Stephen Fry,"Stephen Campbell Moore, Emily Mortimer, Dan Aykroyd, Simon McBurney",5631,2003,0.93,Comedy
Time of the Wolf,114,Drama,6.6,R,Michael Haneke,"Isabelle Huppert, Anaïs Demoustier, Béatrice Dalle, Patrice Chéreau",10541,2003,0.06,Drama
Thumbsucker,96,"Comedy, Drama",6.6,R,Mike Mills,"Lou Taylor Pucci, Tilda Swinton, Vincent D'Onofrio, Keanu Reeves",21195,2005,1.33,Comedy
Tears of the Sun,121,"Action, Drama, Thriller",6.6,R,Antoine Fuqua,"Bruce Willis, Cole Hauser, Monica Bellucci, Eamonn Walker",120044,2003,43.73,Action
Suicide Club,99,"Crime, Drama, Horror",6.6,R,Sion Sono,"Ryo Ishibashi, Masatoshi Nagase, Mai Hosho, Tamao Satô",20103,2001,0.0,Crime
Luther,123,"Biography, Drama, History",6.6,PG-13,Eric Till,"Joseph Fiennes, Bruno Ganz, Peter Ustinov, Alfred Molina",15258,2003,5.79,Biography
May,93,"Comedy, Drama, Horror",6.6,R,Lucky McKee,"Angela Bettis, Jeremy Sisto, Anna Faris, James Duval",36449,2002,0.15,Comedy
Auto Focus,105,"Biography, Crime, Drama",6.6,R,Paul Schrader,"Greg Kinnear, Willem Dafoe, Maria Bello, Rita Wilson",13849,2002,2.06,Biography
Brown Sugar,109,"Comedy, Drama, Music",6.6,PG-13,Rick Famuyiwa,"Taye Diggs, Sanaa Lathan, Yasiin Bey, Nicole Ari Parker",9301,2002,27.36,Comedy
The Rules of Attraction,110,"Comedy, Drama, Romance",6.6,R,Roger Avary,"James Van Der Beek, Ian Somerhalder, Shannyn Sossamon, Jessica Biel",51116,2002,6.53,Comedy
The Recruit,115,"Action, Thriller",6.6,PG-13,Roger Donaldson,"Al Pacino, Colin Farrell, Bridget Moynahan, Gabriel Macht",134135,2003,52.8,Action
Visitor Q,84,"Comedy, Drama, Horror",6.6,R,Takashi Miike,"Ken'ichi Endô, Shungiku Uchida, Kazushi Watanabe, Jun Mutô",15962,2001,0.0,Comedy
The Powerpuff Girls Movie,73,"Animation, Action, Adventure",6.6,PG,Craig McCracken,"Cathy Cavadini, Tara Strong, Elizabeth Daily, Roger Jackson",9838,2002,11.41,Animation
Pulse,119,"Horror, Mystery, Sci-Fi",6.6,R,Kiyoshi Kurosawa,"Haruhiko Katô, Kumiko Asô, Koyuki, Kurume Arisaka",19541,2001,0.05,Horror
Bend It Like Beckham,112,"Comedy, Drama, Romance",6.6,PG-13,Gurinder Chadha,"Parminder Nagra, Keira Knightley, Jonathan Rhys Meyers, Anupam Kher",108869,2002,32.54,Comedy
Tuck Everlasting,90,"Drama, Family, Fantasy",6.6,PG,Jay Russell,"Alexis Bledel, Jonathan Jackson, Sissy Spacek, William Hurt",23574,2002,19.16,Drama
I Am Dina,125,Drama,6.6,Not Rated,Ole Bornedal,"Maria Bonnevie, Gérard Depardieu, Christopher Eccleston, Bjørn Floberg",5503,2002,0.0,Drama
Dark Blue,118,"Crime, Drama, Thriller",6.6,R,Ron Shelton,"Kurt Russell, Ving Rhames, Scott Speedman, Michael Michele",22006,2002,9.06,Crime
Hollywood Ending,112,"Comedy, Romance",6.6,PG-13,Woody Allen,"Woody Allen, Téa Leoni, Bob Dorian, Ivan Martin",26817,2002,4.84,Comedy
Kiss of the Dragon,98,"Action, Crime, Thriller",6.6,R,Chris Nahon,"Jet Li, Bridget Fonda, Tchéky Karyo, Ric Young",63097,2001,36.85,Action
Rush Hour 2,90,"Action, Comedy, Crime",6.6,PG-13,Brett Ratner,"Jackie Chan, Chris Tucker, John Lone, Ziyi Zhang",212961,2001,226.16,Action
Ripley's Game,110,"Crime, Drama, Mystery",6.6,R,Liliana Cavani,"John Malkovich, Dougray Scott, Lena Headey, Ray Winstone",18272,2002,0.0,Crime
Recess: School's Out,82,"Animation, Adventure, Comedy",6.6,G,Chuck Sheetz,"Andrew Lawrence, Rickey D'Shon Collins, Jason Davis, Ashley Johnson",10380,2001,36.7,Animation
My Big Fat Greek Wedding,95,"Comedy, Drama, Romance",6.6,PG,Joel Zwick,"Nia Vardalos, John Corbett, Michael Constantine, Christina Eleusiniotis",128124,2002,241.44,Comedy
Series 7: The Contenders,86,"Comedy, Thriller",6.6,R,Daniel Minahan,"Brooke Smith, Marylouise Burke, Mark Woodbury, Michael Kaycheck",6524,2001,0.17,Comedy
The Deep End,101,"Crime, Drama, Mystery",6.6,R,Scott McGehee,"Tilda Swinton, Goran Visnjic, Jonathan Tucker, Peter Donat",11515,2001,8.82,Crime
Wet Hot American Summer,97,"Comedy, Romance",6.6,R,David Wain,"Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau",57031,2001,0.29,Comedy
The Sleeping Dictionary,109,"Drama, Romance",6.6,R,Guy Jenkin,"Jessica Alba, Brenda Blethyn, Hugh Dancy, Bob Hoskins",8571,2003,0.0,Drama
Bamboozled,135,"Comedy, Drama, Music",6.6,R,Spike Lee,"Damon Wayans, Savion Glover, Jada Pinkett Smith, Michael Rapaport",11417,2000,2.27,Comedy
Joy Ride,97,"Action, Mystery, Thriller",6.6,R,John Dahl,"Steve Zahn, Paul Walker, Leelee Sobieski, Jessica Bowman",68038,2001,21.97,Action
Animal Factory,94,"Crime, Drama",6.6,R,Steve Buscemi,"Willem Dafoe, Edward Furlong, Danny Trejo, Mark Boone Junior",13609,2000,0.04,Crime
Chuck & Buck,96,"Comedy, Drama",6.6,R,Miguel Arteta,"Mike White, Chris Weitz, Lupe Ontiveros, Beth Colt",5581,2000,1.05,Comedy
Shiri,125,"Action, Thriller",6.6,R,Je-kyu Kang,"Han Suk-kyu, Choi Min-sik, Yunjin Kim, Kang-ho Song",8168,1999,0.1,Action
The Replacements,118,"Comedy, Sport",6.6,PG-13,Howard Deutch,"Keanu Reeves, Gene Hackman, Brooke Langton, Orlando Jones",62947,2000,44.74,Comedy
